web_scraper_order,web_scraper_start_url,pagination,data,title,data2
"1789836290-72","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","avoir le nez creux","avoir du flair ; deviner à bon escient ; avoir du nez ; avoir le nez fin","v"
"1789836290-73","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","en prendre pour son grade","se faire violemment réprimander ; se faire battre ; subir une grave déconvenue ou défaite ; se faire houspiller ; se faire gourmander","v"
"1789836290-74","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","fleur de nave","imbécile ; niais ; benêt","n"
"1789836290-75","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","tirer sa flemme","paresser ; flemmer ; flemmardiser ; tirer son flegme","v"
"1789836290-76","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","mettre flamberge au vent","tirer l'épée ; dégainer ; partir en guerre","v"
"1789836290-77","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","petite pluie abat grand vent","un peu de douceur apaise souvent une grande colère ; il suffit parfois d'un évènement insignifiant pour apaiser une grande querelle ; une petite pluie fait ordinairement cesser un grand vent","exp"
"1789836290-78","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","mettre sur la sellette","soumettre quelqu'un à un interrogatoire serré ; l'exposer aux jugements et aux critiques les plus sévères ; lui faire avouer des choses qu'il voulait tenir secrètes","v"
"1789836290-79","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","à brûle-pourpoint","brusquement ; sans ménagement ou très à propos ; tout à coup ; à l'improviste ; sans préparation ; sans prévenir","adv"
"1789836290-80","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","bayer aux corneilles","regarder en l'air ; rester sans rien faire ; se pogner le cul ; perdre son temps en regardant en l’air niaisement ; rêvasser","v"
"1789836290-81","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","de but en blanc","carrément ; brusquement ; sans détour ; à brûle-pourpoint ; tout de go ; directement ; sans préparation ; crûment ; sans précautions","adv"
